"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","FlowData"
"TIMESTAMP","RECORD","FlowMeter(1)","FlowMeter(2)"
"TS","RN","",""
"","","Smp","Smp"
"2021-03-03 17:00:16",995456,9.767371,4.302116
"2021-03-03 17:00:18",995457,9.729191,4.291889
"2021-03-03 17:00:20",995458,9.741464,4.298707
"2021-03-03 17:00:22",995459,9.781008,4.152121
"2021-03-03 17:00:24",995460,9.763281,4.18962
"2021-03-03 17:00:26",995461,9.789189,4.281662
"2021-03-03 17:00:28",995462,9.755099,4.274844
"2021-03-03 17:00:30",995463,9.775553,4.114623
"2021-03-03 17:00:32",995464,9.775553,4.285071
"2021-03-03 17:00:34",995465,9.772825,4.18962
"2021-03-03 17:00:36",995466,9.778281,4.346432
"2021-03-03 17:00:38",995467,9.800098,4.312343
"2021-03-03 17:00:40",995468,9.789189,4.15553
"2021-03-03 17:00:42",995469,9.761917,4.25439
"2021-03-03 17:00:44",995470,9.775553,4.193029
"2021-03-03 17:00:46",995471,9.785098,4.097578
"2021-03-03 17:00:48",995472,9.805552,4.199847
"2021-03-03 17:00:50",995473,9.798734,4.141894
"2021-03-03 17:00:52",995474,9.830097,4.298707
"2021-03-03 17:00:54",995475,9.79328,4.032807
"2021-03-03 17:00:56",995476,9.778281,4.268026
"2021-03-03 17:00:58",995477,9.798734,4.322569
"2021-03-03 17:01:00",995478,9.819188,4.305525
"2021-03-03 17:01:02",995479,9.813734,4.244164
"2021-03-03 17:01:04",995480,9.817824,4.169166
"2021-03-03 17:01:06",995481,9.811007,4.302116
"2021-03-03 17:01:08",995482,9.821916,4.152121
"2021-03-03 17:01:10",995483,9.81237,4.336205
"2021-03-03 17:01:12",995484,9.816461,4.15553
"2021-03-03 17:01:14",995485,9.841005,4.268026
"2021-03-03 17:01:16",995486,9.83146,4.097578
"2021-03-03 17:01:18",995487,9.791917,4.135077
"2021-03-03 17:01:20",995488,9.843733,4.312343
"2021-03-03 17:01:22",995489,9.842369,4.060079
"2021-03-03 17:01:24",995490,9.857368,4.298707
"2021-03-03 17:01:26",995491,9.824642,4.111214
"2021-03-03 17:01:28",995492,9.841005,4.31916
"2021-03-03 17:01:30",995493,9.816461,4.145303
"2021-03-03 17:01:32",995494,9.849187,4.400976
"2021-03-03 17:01:34",995495,9.854641,4.305525
"2021-03-03 17:01:36",995496,9.832824,4.400976
"2021-03-03 17:01:38",995497,9.862823,4.261208
"2021-03-03 17:01:40",995498,9.86146,4.370296
"2021-03-03 17:01:42",995499,9.817824,4.230527
"2021-03-03 17:01:44",995500,9.845097,4.397567
"2021-03-03 17:01:46",995501,9.845097,4.206665
