"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","Data_dropbox"
"TIMESTAMP","RECORD","batt_volt","PTemp","H2o_6262_mmol_mol","Co2_6262_micmol_mol","H2o_7000_mmol_mol","Co2_7000_micmol_mol","Temp_6262","Temp_7000","Prees_7000","H2o_Flux","Co2_Flux","PAR","AirFlow_Sam","AirFlow_Amb","Ambient_RH","Ambient_TempAir","Tc(1)","Tc(2)","Tc(3)","Tc(4)","Tc(5)","Tc(6)","Tc(7)","Tc(8)","Tc(9)","Tc(10)","Tc(11)","Tc(12)","Tc(13)","Tc(14)","Tc(15)","Tc(16)","RadKipZonen","ChamberStatus","ChamberON","Counter","VPD_Ambient","VPD_Chamber","Tc_AM25","Volt_AM25(1)","Volt_AM25(2)","Volt_AM25(3)","Pump_Status"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-03-03 20:00:16",1000856,12.16007,14.44316,9.587049,407.1677,9.559775,407.6259,0,29.60666,94.13919,-0.002688713,0.04516752,0,7.8892,8.33787,0,-40,7.973984,7.551984,8.008418,7.060659,7.999809,7.439967,7.939548,7.681203,7.827614,7.663976,8.068673,7.724269,7.715656,7.853447,7.405496,7.69843,-1.094111,0,4,15,-0.03569055,-0.07387197,"NAN",0,831.1958,0,0
"2021-03-03 20:00:18",1000857,12.17118,14.42057,9.573412,407.1677,9.518863,407.4895,0,29.59302,94.13919,-0.005384924,0.03176483,0,7.899428,8.110126,0,-40,7.97928,7.626203,8.013713,6.979719,8.056752,7.30737,7.936234,7.660659,7.832911,7.634818,7.936234,7.583129,7.634818,7.798465,7.410796,7.660659,-0.7294076,0,4,17,-0.03553867,-0.07451415,"NAN",0,854.3793,0,0
"2021-03-03 20:00:20",1000858,12.14896,14.42057,9.559775,407.4405,9.464314,407.7895,0,29.6203,94.13919,-0.009386236,0.03432114,0,7.868744,8.189222,0,-40,8.323515,7.557282,7.944843,6.936592,8.108395,7.315989,7.901794,7.669273,7.815688,7.634818,7.987888,7.643431,7.720954,7.686501,7.402178,7.686501,-1.094111,0,4,19,-0.03341138,-0.07114834,"NAN",0,853.0156,0,0
"2021-03-03 20:00:22",1000859,12.16562,14.42057,9.587049,407.5496,9.477951,407.735,0,29.59302,94.13919,-0.01075116,0.01827294,0,7.885791,8.174221,0,-40,8.142819,7.462502,7.987888,7.005593,8.048144,7.367704,7.884574,7.660659,7.815688,7.617589,7.910405,7.746792,7.695115,7.652046,7.393559,7.652046,-0.7294076,0,4,21,-0.03708279,-0.06821334,"NAN",-0.6818669,864.6073,0,0
"2021-03-03 20:00:24",1000860,12.12674,14.42057,9.573412,406.704,9.464314,407.5168,0,29.59302,94.13919,-0.0107745,0.08026612,0,7.902838,8.040576,0,-40,8.249736,7.492013,8.025976,7.000632,8.103443,7.345509,7.93989,7.664318,7.79351,7.64709,8.00876,7.64709,7.75045,7.698772,7.371365,7.672931,-1.458815,0,4,23,-0.03529096,-0.06699562,"NAN",0,870.7441,0,0
"2021-03-03 20:00:26",1000861,12.17118,14.42057,9.559775,406.9222,9.450676,407.2986,0,29.59302,94.13919,-0.01078389,0.03719945,0,7.909656,7.991481,0,-40,8.048144,7.617589,8.022321,6.971094,8.091181,7.359086,7.910405,7.652046,7.807076,7.652046,7.927625,7.557282,7.686501,7.772629,7.376323,7.652046,-1.458815,0,4,25,-0.0345782,-0.06737298,"NAN",0,866.6529,0.6818669,0
"2021-03-03 20:00:28",1000862,12.14896,14.42057,9.573412,407.9041,9.464314,407.244,0,29.6203,94.13374,-0.01072178,-0.06487164,0,7.865335,7.98739,0,-40,8.143923,7.472225,8.04064,6.980825,8.07507,7.351572,7.954556,7.661764,7.790957,7.696219,7.954556,7.601464,7.722059,7.635922,7.403283,7.687605,-0.3647038,0,4,27,-0.03546393,-0.06828165,"NAN",0,859.1523,0.6818669,0
"2021-03-03 20:00:30",1000863,12.1434,14.42057,9.573412,406.895,9.464314,407.4622,0,29.6203,94.13374,-0.01069389,0.05560024,0,7.844879,8.014665,0,-40,8.108395,7.634818,8.013713,6.962469,8.160031,7.324609,7.910405,7.626203,7.746792,7.634818,7.953453,7.634818,7.695115,7.574513,7.410796,7.660659,-0.7294076,0,4,29,-0.03787029,-0.06947231,"NAN",-0.6818669,861.1979,0.6818669,0
