"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","Data_dropbox"
"TIMESTAMP","RECORD","batt_volt","PTemp","H2o_6262_mmol_mol","Co2_6262_micmol_mol","H2o_7000_mmol_mol","Co2_7000_micmol_mol","Temp_6262","Temp_7000","Prees_7000","H2o_Flux","Co2_Flux","PAR","AirFlow_Sam","AirFlow_Amb","Ambient_RH","Ambient_TempAir","Tc(1)","Tc(2)","Tc(3)","Tc(4)","Tc(5)","Tc(6)","Tc(7)","Tc(8)","Tc(9)","Tc(10)","Tc(11)","Tc(12)","Tc(13)","Tc(14)","Tc(15)","Tc(16)","RadKipZonen","ChamberStatus","ChamberON","Counter","VPD_Ambient","VPD_Chamber","Tc_AM25","Volt_AM25(1)","Volt_AM25(2)","Volt_AM25(3)","Pump_Status"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-13 00:00:00",1783691,12.38859,10.71992,4.406543,414.4201,4.427008,415.6342,0,28.26736,93.94814,0.002081677,0.1235047,-5300.131,8.120728,8.053197,0,-40,10.39389,10.47097,10.0683,9.63959,10.4881,10.52235,9.828267,9.579542,9.31353,9.356445,9.150423,9.038795,9.236276,9.493747,9.270613,9.75109,-0.3646064,-560.7088,9,0,0.691616,0.6685663,"NAN",0,267.394,0.6821275,1
"2022-01-13 00:00:02",1783692,12.31637,10.71992,4.392901,414.3383,4.420186,416.0162,0,28.26736,93.94814,0.002716038,0.1670309,-5115.957,7.946785,8.242828,0,-40,10.55557,10.54701,10.11869,9.672867,10.3072,10.52132,9.792935,9.595666,9.25241,9.381158,9.123631,9.097871,9.243826,9.355411,9.226657,9.724328,0.3646064,-548.4305,9,2,0.6944378,0.6646302,"NAN",0,273.5331,0.6821275,1
"2022-01-13 00:00:04",1783693,12.04971,10.71992,4.392901,414.4201,4.413365,415.416,0,28.26736,93.94814,0.002070263,0.1007465,-5228.507,8.076389,8.369704,0,-40,10.53091,10.50522,10.18828,9.673901,10.47097,10.57373,9.811118,9.605278,9.31353,9.227692,9.116079,9.038795,9.176181,9.390775,9.133251,9.733937,0,-556.616,9,4,0.6951935,0.67012,"NAN",-0.6821275,276.9438,0.6821275,1
"2022-01-13 00:00:06",1783694,12.35525,10.71992,4.406543,414.2018,4.413365,414.2427,0,28.26736,93.94814,0.0006950742,0.004163643,-5269.435,8.13437,8.054562,0,-40,10.32433,10.42712,10.11869,9.629979,10.4785,10.39286,9.827235,9.612823,9.372576,9.372576,9.192317,9.003408,9.269578,9.381158,9.29533,9.750056,0.3646064,-556.616,9,6,0.6942317,0.6746899,"NAN",0,280.3544,0.6821275,1
"2022-01-13 00:00:08",1783695,12.3497,10.71992,4.420186,414.3383,4.433828,414.3792,0,28.26736,93.94814,0.001403456,0.004206935,-5259.203,8.212814,7.930415,0,-40,10.09298,10.49563,10.12726,9.56135,10.2815,10.43568,9.78436,9.638556,9.329663,9.363994,9.192317,8.934697,9.29533,9.355411,9.278162,9.741481,0,-556.616,9,8,0.6947026,0.6690366,"NAN",0,284.4471,0.6821275,1
"2022-01-13 00:00:10",1783696,12.33859,10.71992,4.406543,413.738,4.427008,413.7789,0,28.26736,93.94814,0.002115774,0.004224745,-5269.435,8.253742,8.081846,0,-40,10.3329,10.46137,10.18725,9.578508,10.4785,10.48707,9.801509,9.638556,9.372576,9.363994,9.123631,9.089285,9.278162,9.432648,9.260995,9.758633,0.7292128,-557.9803,9,10,0.6962581,0.6731359,"NAN",0,272.851,0.6821275,1
"2022-01-13 00:00:12",1783697,12.36081,10.71992,4.420186,413.1377,4.420186,413.3423,0,28.26736,93.94814,0,0.02130071,-5269.435,8.311723,7.983621,0,-40,10.52887,10.50318,10.15195,9.483115,10.7429,10.44323,9.809068,9.611805,9.34581,9.285728,9.191298,8.985212,9.234223,9.337227,9.277143,9.749039,0,-557.9803,9,12,0.6925964,0.6718395,"NAN",0,275.5795,0.6821275,1
"2022-01-13 00:00:14",1783698,12.34414,10.71992,4.420186,414.3383,4.433828,414.6247,0,28.26736,93.94814,0.001415113,0.02971213,-5279.667,8.281028,7.793989,0,-40,10.83153,10.52335,10.14644,9.451847,10.60041,10.36919,9.81212,9.657749,9.400359,9.348866,9.151427,9.056973,9.297367,9.2802,9.271617,9.752092,0.3646064,-559.3445,9,14,0.6962157,0.6745149,"NAN",0,270.8046,0.6821275,1
