"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_25_9_2020.CR1","4460","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-09-27 11:01:00",2864,32.83407,32.85984,30.6711,30.49792,"NAN",27.20232
"2020-09-27 11:02:00",2865,33.39803,33.47392,30.98559,30.79065,"NAN",27.20182
"2020-09-27 11:03:00",2866,33.61651,33.63724,31.20181,30.9023,"NAN",27.16958
"2020-09-27 11:04:00",2867,33.79105,33.80032,31.16038,31.0155,"NAN",27.19031
"2020-09-27 11:05:00",2868,33.97283,33.91059,30.81168,30.54218,"NAN",27.19312
"2020-09-27 11:06:00",2869,34.05005,34.0036,30.70116,30.37009,"NAN",27.18267
"2020-09-27 11:07:00",2870,34.10009,34.03181,30.95148,30.63821,"NAN",27.19361
"2020-09-27 11:08:00",2871,34.17247,34.10603,30.88707,30.59167,"NAN",27.20794
"2020-09-27 11:09:00",2872,31.28807,30.55752,30.42357,30.27237,"NAN",27.22065
"2020-09-27 11:10:00",2873,30.28642,29.69769,29.92133,29.8381,"NAN",27.21288
"2020-09-27 11:11:00",2874,30.56339,29.87774,30.59335,30.12894,"NAN",27.20367
"2020-09-27 11:12:00",2875,31.39984,30.57317,31.0218,30.74923,"NAN",27.18958
"2020-09-27 11:13:00",2876,31.23514,30.53254,30.87718,30.76437,"NAN",27.23519
"2020-09-27 11:14:00",2877,31.15436,30.57662,30.76241,30.58362,"NAN",27.23683
"2020-09-27 11:15:00",2878,30.77182,30.40589,30.84586,30.6669,"NAN",27.22395
"2020-09-27 11:16:00",2879,30.47209,30.20209,31.22798,30.73065,"NAN",27.2476
"2020-09-27 11:17:00",2880,30.81384,30.5401,31.45073,31.28525,"NAN",27.22671
"2020-09-27 11:18:00",2881,30.71927,30.50112,30.96858,30.90176,"NAN",27.23164
"2020-09-27 11:19:00",2882,30.53904,30.38973,30.88087,30.62538,"NAN",27.22968
"2020-09-27 11:20:00",2883,30.37775,30.18733,30.78332,30.48277,"NAN",27.23625
"2020-09-27 11:21:00",2884,30.7818,30.65441,31.49627,31.09392,"NAN",27.22871
"2020-09-27 11:22:00",2885,31.61813,31.33154,31.25841,31.1505,"NAN",27.21947
"2020-09-27 11:23:00",2886,30.42776,30.25276,30.73427,30.61523,"NAN",27.25214
"2020-09-27 11:24:00",2887,30.83852,30.68521,31.1812,30.85349,"NAN",27.26615
"2020-09-27 11:25:00",2888,30.92009,30.71646,30.91744,30.74912,"NAN",27.2449
"2020-09-27 11:26:00",2889,30.24244,30.0866,30.60767,30.47221,"NAN",27.26646
"2020-09-27 11:27:00",2890,30.18793,30.03407,30.69588,30.43026,"NAN",27.25666
"2020-09-27 11:28:00",2891,30.44053,30.3632,30.6397,30.36587,"NAN",27.27106
"2020-09-27 11:29:00",2892,31.12239,31.0018,31.32058,30.95154,"NAN",27.26275
"2020-09-27 11:30:00",2893,30.96096,30.90388,31.58138,31.31235,"NAN",27.28427
"2020-09-27 11:31:00",2894,31.20566,31.22771,31.50282,31.24325,"NAN",27.28662
"2020-09-27 11:32:00",2895,31.39295,31.34921,31.87078,31.62107,"NAN",27.2665
"2020-09-27 11:33:00",2896,30.80432,30.70625,31.13914,31.15508,"NAN",27.27192
"2020-09-27 11:34:00",2897,30.93948,30.83541,31.23342,30.93676,"NAN",27.28332
"2020-09-27 11:35:00",2898,31.73715,31.75932,31.39367,31.10756,"NAN",27.27155
"2020-09-27 11:36:00",2899,31.32311,31.20243,31.39385,31.16697,"NAN",27.24816
"2020-09-27 11:37:00",2900,31.08406,30.95374,31.14045,30.85385,"NAN",27.29391
"2020-09-27 11:38:00",2901,31.46438,31.38463,31.56875,31.21631,"NAN",27.31131
"2020-09-27 11:39:00",2902,31.20016,31.25297,31.06967,30.75098,"NAN",27.29297
"2020-09-27 11:40:00",2903,31.10927,31.09922,31.50673,31.1976,"NAN",27.28395
"2020-09-27 11:41:00",2904,31.25,31.10537,31.32762,31.22313,"NAN",27.32565
"2020-09-27 11:42:00",2905,30.93217,30.59006,31.24705,31.09559,"NAN",27.31472
"2020-09-27 11:43:00",2906,31.06973,30.83347,31.34548,30.99805,"NAN",27.3428
"2020-09-27 11:44:00",2907,31.72735,31.4376,31.69442,31.56279,"NAN",27.31011
"2020-09-27 11:45:00",2908,30.88175,30.80263,31.2266,30.98393,"NAN",27.31793
"2020-09-27 11:46:00",2909,30.63144,30.78998,31.68527,31.53512,"NAN",27.33467
"2020-09-27 11:47:00",2910,30.46684,30.47211,30.74579,30.454,"NAN",27.35387
"2020-09-27 11:48:00",2911,32.83059,32.58451,32.12716,31.61571,"NAN",27.35164
"2020-09-27 11:49:00",2912,32.74161,32.31957,32.25339,31.9959,"NAN",27.33873
"2020-09-27 11:50:00",2913,32.52465,32.06782,32.38802,32.16407,"NAN",27.32238
"2020-09-27 11:51:00",2914,33.53672,32.71428,31.91792,31.78752,"NAN",27.33186
"2020-09-27 11:52:00",2915,32.17039,31.50007,31.07514,30.90673,"NAN",27.35723
"2020-09-27 11:53:00",2916,32.94123,32.41205,31.68265,31.34495,"NAN",27.34002
"2020-09-27 11:54:00",2917,32.84313,32.24824,32.09825,31.74542,"NAN",27.33378
"2020-09-27 11:55:00",2918,33.54987,32.91072,32.61523,32.28232,"NAN",27.3452
"2020-09-27 11:56:00",2919,32.58429,31.9503,31.72991,31.59074,"NAN",27.33371
"2020-09-27 11:57:00",2920,32.34635,31.84164,31.95082,31.66105,"NAN",27.33776
"2020-09-27 11:58:00",2921,32.37811,31.91044,31.69151,31.58188,"NAN",27.36889
"2020-09-27 11:59:00",2922,32.21543,31.79209,31.64758,31.41456,"NAN",27.33704
"2020-09-27 12:00:00",2923,32.53155,32.02895,31.50784,31.32212,"NAN",27.34252
