"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-03-03 09:01:00",32702,13.27549,14.14444,11.33052,12.92577,"NAN",20.38118
"2021-03-03 09:02:00",32703,14.39566,14.70239,10.93865,11.37328,"NAN",20.41448
"2021-03-03 09:03:00",32704,15.23486,15.22777,11.70247,13.92351,"NAN",20.4633
"2021-03-03 09:04:00",32705,14.49362,14.4174,10.83752,11.08855,"NAN",20.44168
"2021-03-03 09:05:00",32706,14.13727,14.13942,11.02724,11.01551,"NAN",20.40274
"2021-03-03 09:06:00",32707,13.95749,13.92862,10.67582,10.91487,"NAN",20.45753
"2021-03-03 09:07:00",32708,13.81033,13.779,10.91362,11.04609,"NAN",20.45627
"2021-03-03 09:08:00",32709,13.63622,13.63703,10.81422,10.96279,"NAN",20.47327
"2021-03-03 09:09:00",32710,11.69922,11.27852,10.90935,11.03566,"NAN",20.51394
"2021-03-03 09:10:00",32711,11.31806,11.27083,11.09786,11.73594,"NAN",20.44513
"2021-03-03 09:11:00",32712,11.13162,11.17991,11.46466,13.55212,"NAN",20.51312
"2021-03-03 09:12:00",32713,10.93091,11.04784,11.18752,12.17166,"NAN",20.55866
"2021-03-03 09:13:00",32714,10.90801,10.95292,12.59576,13.14464,"NAN",20.52401
"2021-03-03 09:14:00",32715,10.82232,10.76607,12.98758,13.76265,"NAN",20.54902
"2021-03-03 09:15:00",32716,10.7069,10.82493,12.72242,13.32804,"NAN",20.57693
"2021-03-03 09:16:00",32717,10.56629,10.55049,12.63175,13.20445,"NAN",20.58998
"2021-03-03 09:17:00",32718,10.42461,10.51663,12.55453,13.14968,"NAN",20.52236
"2021-03-03 09:18:00",32719,10.41114,10.4794,12.4817,13.06427,"NAN",20.63747
"2021-03-03 09:19:00",32720,10.49352,10.59662,12.43956,13.01715,"NAN",20.59368
"2021-03-03 09:20:00",32721,10.66845,10.73932,12.31177,13.04567,"NAN",20.57609
"2021-03-03 09:21:00",32722,10.57243,10.52847,10.68055,11.474,"NAN",20.56091
"2021-03-03 09:22:00",32723,10.56382,10.53547,10.63508,10.9028,"NAN",20.61082
"2021-03-03 09:23:00",32724,10.66794,10.7733,11.28128,10.9009,"NAN",20.58087
"2021-03-03 09:24:00",32725,10.74583,10.78288,11.06696,11.0018,"NAN",20.56874
"2021-03-03 09:25:00",32726,10.80241,10.81526,10.63816,10.79771,"NAN",20.55165
"2021-03-03 09:26:00",32727,11.07706,11.03384,10.91488,11.05281,"NAN",20.65808
"2021-03-03 09:27:00",32728,11.13924,11.02738,11.19341,11.2338,"NAN",20.57197
"2021-03-03 09:28:00",32729,12.49288,12.1458,12.18139,13.43179,"NAN",20.61447
"2021-03-03 09:29:00",32730,12.45726,11.97242,11.81956,15.1481,"NAN",20.63667
"2021-03-03 09:30:00",32731,11.32607,11.08314,11.44749,11.97031,"NAN",20.60994
"2021-03-03 09:31:00",32732,11.31765,11.21431,11.32231,12.32582,"NAN",20.64212
"2021-03-03 09:32:00",32733,13.55773,13.05702,12.93429,15.66225,"NAN",20.69456
"2021-03-03 09:33:00",32734,15.34701,13.92503,13.17818,17.91311,"NAN",20.67351
"2021-03-03 09:34:00",32735,14.83415,13.73044,13.99393,17.53467,"NAN",20.74147
"2021-03-03 09:35:00",32736,13.86785,13.44751,14.07238,16.51472,"NAN",20.74283
"2021-03-03 09:36:00",32737,13.45289,13.14328,13.6756,16.43706,"NAN",20.68601
"2021-03-03 09:37:00",32738,13.49903,13.00027,13.63968,17.34954,"NAN",20.74291
"2021-03-03 09:38:00",32739,13.81061,14.1515,14.77959,16.75193,"NAN",20.79061
"2021-03-03 09:39:00",32740,13.75147,13.22047,13.64334,16.13015,"NAN",20.77997
"2021-03-03 09:40:00",32741,14.11091,13.3359,13.51238,15.76416,"NAN",20.82519
"2021-03-03 09:41:00",32742,13.52119,12.54506,13.81163,16.00414,"NAN",20.80811
"2021-03-03 09:42:00",32743,13.24625,12.86222,13.54073,15.62279,"NAN",20.82428
"2021-03-03 09:43:00",32744,13.65934,13.14851,13.75134,18.16564,"NAN",20.83988
"2021-03-03 09:44:00",32745,13.72911,12.96004,13.59758,17.02712,"NAN",20.87333
"2021-03-03 09:45:00",32746,14.43488,13.93325,13.37965,17.5255,"NAN",20.85711
"2021-03-03 09:46:00",32747,15.19281,14.55152,14.20234,17.36643,"NAN",20.88663
"2021-03-03 09:47:00",32748,12.27547,11.88126,12.41569,14.17088,"NAN",20.94718
"2021-03-03 09:48:00",32749,11.43873,11.30404,11.57777,12.11574,"NAN",20.92318
"2021-03-03 09:49:00",32750,12.52836,11.80376,12.20037,13.52552,"NAN",20.90342
"2021-03-03 09:50:00",32751,13.02376,12.62756,12.99194,15.33863,"NAN",20.90243
"2021-03-03 09:51:00",32752,12.1175,11.84194,12.35631,13.66448,"NAN",20.97932
"2021-03-03 09:52:00",32753,12.94015,12.69921,12.80659,13.69088,"NAN",20.95106
"2021-03-03 09:53:00",32754,13.72072,12.83738,12.24468,12.70892,"NAN",20.99233
"2021-03-03 09:54:00",32755,13.30575,13.10847,12.61276,13.23038,"NAN",21.00355
"2021-03-03 09:55:00",32756,13.66023,13.58602,14.0012,14,"NAN",21.05588
"2021-03-03 09:56:00",32757,12.43525,12.63251,12.95582,12.96526,"NAN",21.02602
"2021-03-03 09:57:00",32758,11.74032,11.88884,11.7878,12.15873,"NAN",21.03141
"2021-03-03 09:58:00",32759,11.47239,11.65695,11.56732,11.39295,"NAN",21.04456
"2021-03-03 09:59:00",32760,11.56417,11.50577,11.70563,11.39612,"NAN",21.04332
"2021-03-03 10:00:00",32761,11.51365,11.60008,11.47212,11.52069,"NAN",21.12849
