"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-11 00:01:00",56576,3.500744,3.349372,2.705242,2.49,"NAN",20.57667
"2022-01-11 00:02:00",56577,3.502348,3.352943,2.643408,2.479736,"NAN",20.56268
"2022-01-11 00:03:00",56578,3.176581,3.167534,2.460163,2.34524,"NAN",20.5492
"2022-01-11 00:04:00",56579,2.919753,2.978344,2.19868,2.02472,"NAN",20.5525
"2022-01-11 00:05:00",56580,2.948192,2.954787,2.287758,2.118356,"NAN",20.52565
"2022-01-11 00:06:00",56581,2.987796,2.909275,2.338965,2.232494,"NAN",20.50969
"2022-01-11 00:07:00",56582,2.85715,2.836899,2.258841,1.985096,"NAN",20.50589
"2022-01-11 00:08:00",56583,2.869497,2.863405,2.119436,1.824396,"NAN",20.5335
"2022-01-11 00:09:00",56584,2.871008,2.885891,2.196509,1.930298,"NAN",20.53866
"2022-01-11 00:10:00",56585,2.893244,2.915072,2.531291,2.113359,"NAN",20.55359
"2022-01-11 00:11:00",56586,2.920449,2.953155,2.774373,2.450657,"NAN",20.53761
"2022-01-11 00:12:00",56587,2.959267,2.994626,3.095546,2.792305,"NAN",20.55069
"2022-01-11 00:13:00",56588,2.997619,3.04951,3.243079,3.050215,"NAN",20.5389
"2022-01-11 00:14:00",56589,3.031737,3.082669,3.083855,2.951406,"NAN",20.54263
"2022-01-11 00:15:00",56590,3.573383,3.348107,2.831962,2.749037,"NAN",20.53975
"2022-01-11 00:16:00",56591,3.507271,3.433539,2.639568,2.534065,"NAN",20.53172
"2022-01-11 00:17:00",56592,3.263958,3.223492,2.489835,2.341469,"NAN",20.54244
"2022-01-11 00:18:00",56593,3.124633,3.06882,2.360544,2.208033,"NAN",20.53151
"2022-01-11 00:19:00",56594,3.120964,3.016821,2.248597,1.995427,"NAN",20.53341
"2022-01-11 00:20:00",56595,3.201554,3.059254,2.217387,1.972907,"NAN",20.54735
"2022-01-11 00:21:00",56596,3.212456,3.128546,2.309971,2.101724,"NAN",20.54846
"2022-01-11 00:22:00",56597,3.034535,3.027924,2.169455,2.030715,"NAN",20.51854
"2022-01-11 00:23:00",56598,2.736889,2.788776,1.986922,1.843041,"NAN",20.53295
"2022-01-11 00:24:00",56599,2.502963,2.586102,1.992372,1.804893,"NAN",20.51825
"2022-01-11 00:25:00",56600,2.633463,2.626442,2.064658,1.88643,"NAN",20.49711
"2022-01-11 00:26:00",56601,2.604341,2.550011,2.039704,1.816807,"NAN",20.50262
"2022-01-11 00:27:00",56602,2.809078,2.726729,2.215381,2.077419,"NAN",20.5006
"2022-01-11 00:28:00",56603,3.108716,2.899364,2.253238,2.177494,"NAN",20.51243
"2022-01-11 00:29:00",56604,3.212304,2.986938,2.262708,2.205004,"NAN",20.54133
"2022-01-11 00:30:00",56605,3.34663,3.088976,2.268294,2.168464,"NAN",20.54959
"2022-01-11 00:31:00",56606,3.447259,3.127208,2.268083,2.206754,"NAN",20.5372
"2022-01-11 00:32:00",56607,3.708324,3.361534,2.295478,2.232259,"NAN",20.53431
"2022-01-11 00:33:00",56608,4.03915,3.689442,2.332455,2.253695,"NAN",20.55067
"2022-01-11 00:34:00",56609,4.067244,3.824356,2.344201,2.263724,"NAN",20.5277
"2022-01-11 00:35:00",56610,3.600185,3.553171,2.312657,2.143552,"NAN",20.52057
"2022-01-11 00:36:00",56611,3.256285,3.282108,2.14035,1.965653,"NAN",20.51186
"2022-01-11 00:37:00",56612,3.053067,3.057974,2.297388,2.1039,"NAN",20.49351
"2022-01-11 00:38:00",56613,2.999483,2.962642,2.422422,2.33221,"NAN",20.48062
"2022-01-11 00:39:00",56614,2.743453,2.72313,2.323995,2.187063,"NAN",20.47271
"2022-01-11 00:40:00",56615,2.869436,2.753419,2.194993,2.017309,"NAN",20.48942
"2022-01-11 00:41:00",56616,2.891859,2.78255,2.187701,1.880281,"NAN",20.48484
"2022-01-11 00:42:00",56617,2.634535,2.428764,2.241142,1.877309,"NAN",20.49932
"2022-01-11 00:43:00",56618,2.72594,2.388832,2.300009,1.916546,"NAN",20.50905
"2022-01-11 00:44:00",56619,3.137141,2.744911,2.539031,2.210254,"NAN",20.47202
"2022-01-11 00:45:00",56620,3.730372,3.366048,2.635228,2.265555,"NAN",20.48551
"2022-01-11 00:46:00",56621,3.687474,3.413176,2.67152,2.304474,"NAN",20.49071
"2022-01-11 00:47:00",56622,3.917213,3.59209,2.915895,2.440389,"NAN",20.49389
"2022-01-11 00:48:00",56623,4.032616,3.771802,2.944932,2.582808,"NAN",20.49337
"2022-01-11 00:49:00",56624,3.765873,3.614429,2.936581,2.664972,"NAN",20.50861
"2022-01-11 00:50:00",56625,3.834207,3.669398,2.932236,2.580115,"NAN",20.51487
"2022-01-11 00:51:00",56626,3.746137,3.496457,2.845542,2.553113,"NAN",20.5219
"2022-01-11 00:52:00",56627,3.72852,3.498938,2.854897,2.462669,"NAN",20.51479
"2022-01-11 00:53:00",56628,3.825103,3.582254,2.885746,2.497073,"NAN",20.52466
"2022-01-11 00:54:00",56629,4.032404,3.764525,2.965481,2.652025,"NAN",20.50336
"2022-01-11 00:55:00",56630,4.013658,3.82778,3.058748,2.913577,"NAN",20.48374
"2022-01-11 00:56:00",56631,3.886858,3.679627,3.016032,2.934312,"NAN",20.50754
"2022-01-11 00:57:00",56632,3.658032,3.509471,2.84019,2.760873,"NAN",20.51712
"2022-01-11 00:58:00",56633,3.561715,3.434186,2.667339,2.570477,"NAN",20.49235
"2022-01-11 00:59:00",56634,3.521197,3.360512,2.626157,2.480467,"NAN",20.50887
"2022-01-11 01:00:00",56635,3.389122,3.257757,2.608241,2.408207,"NAN",20.51359
