timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol
2021-03-25 00:00:00,8.028704,-2.917628,10.54353,406.9596
2021-03-25 00:00:02,8.030902,-4.011738,10.55717,405.8139
2021-03-25 00:00:04,8.073938,-4.376442,10.52989,405.7593
2021-03-25 00:00:06,8.065331,-4.011738,10.52989,406.3594
2021-03-25 00:00:08,8.021179,-4.011738,10.51625,405.9775
2021-03-25 00:00:10,8.048147,-3.647035,10.51668,405.898
2021-03-25 00:00:12,8.056755,-4.011738,10.51668,406.089
2021-03-25 00:00:14,8.04194,-3.647035,10.53032,405.5434
2021-03-25 00:00:16,8.066476,-3.647035,10.50304,406.7164
2021-03-25 00:00:18,8.040654,-3.282332,10.4894,405.6525
2021-03-25 00:00:20,8.028704,-3.282332,10.50304,405.8162
2021-03-25 00:00:26,8.030931,-3.647035,10.54396,405.7071
2021-03-25 00:00:28,8.058984,-3.282332,10.63945,405.9799
2021-03-25 00:00:30,8.039539,-4.011738,10.63945,405.6525
2021-03-25 00:00:32,8.057869,-4.011738,10.65309,404.9432
2021-03-25 00:00:34,8.028704,-3.282332,10.66673,405.3251
2021-03-25 00:00:36,8.075083,-3.647035,10.66673,405.5434
2021-03-25 00:00:38,8.075083,-2.917628,10.66673,405.9799
2021-03-25 00:00:40,8.04194,-4.011738,10.61217,405.4888
2021-03-25 00:00:42,8.061554,-4.376442,10.61217,405.1069
2021-03-25 00:00:44,8.093412,-3.282332,10.59853,405.3797
2021-03-25 00:00:46,8.093412,-4.011738,10.58488,404.9705
2021-03-25 00:00:48,8.038425,-3.282332,10.5576,405.9799
2021-03-25 00:00:50,8.045919,-4.011738,10.5576,405.4342
2021-03-25 00:00:52,8.064247,-4.011738,10.53032,404.5612
2021-03-25 00:00:54,8.045919,-3.282332,10.53032,405.025
2021-03-25 00:00:56,8.075253,-3.647035,10.54396,405.3524
2021-03-25 00:00:58,8.118116,-3.647035,10.53032,405.8707
2021-03-25 00:01:00,8.119232,-2.917628,10.54396,405.5434
2021-03-25 00:01:02,8.073969,-3.282332,10.53032,404.0429
2021-03-25 00:01:04,8.066476,-3.647035,10.51668,405.3797
2021-03-25 00:01:06,8.05564,-4.376442,10.5576,404.9159
2021-03-25 00:01:08,8.065362,-3.282332,10.54396,405.216
2021-03-25 00:01:10,8.049261,-3.647035,10.53032,405.216
2021-03-25 00:01:12,8.039539,-3.647035,10.51668,405.025
2021-03-25 00:01:14,8.045919,-3.647035,10.54396,405.6798
2021-03-25 00:01:16,8.072854,-3.647035,10.5576,406.3072
2021-03-25 00:01:18,8.039742,-3.647035,10.54396,404.9705
2021-03-25 00:01:20,8.059155,-3.647035,10.53032,405.1069
2021-03-25 00:01:22,8.037312,-3.647035,10.53032,405.9799
2021-03-25 00:01:24,8.038425,-4.376442,10.53032,406.3072
2021-03-25 00:01:26,8.044805,-4.376442,10.53032,405.7616
2021-03-25 00:01:28,8.028704,-3.647035,10.54396,405.6798
2021-03-25 00:01:30,8.064247,-3.647035,10.53032,405.2706
2021-03-25 00:01:32,8.063134,-3.647035,10.53032,405.1069
2021-03-25 00:01:34,8.091183,-4.011738,10.54396,405.8707
2021-03-25 00:01:36,8.081462,-3.647035,10.51668,405.9526
2021-03-25 00:01:38,8.082576,-3.647035,10.53032,406.8528
2021-03-25 00:01:40,8.092297,-4.011738,10.53032,405.9253
2021-03-25 00:01:42,8.062019,-4.011738,10.54396,405.1342
2021-03-25 00:01:44,8.072854,-4.011738,10.53032,406.0071
2021-03-25 00:01:46,8.082779,-3.647035,10.5576,407.0711
2021-03-25 00:01:48,8.072854,-4.741146,10.54396,404.8886
2021-03-25 00:01:50,8.090069,-4.011738,10.5576,405.3251
2021-03-25 00:01:52,8.080348,-4.741146,10.53032,405.0796
2021-03-25 00:01:54,8.080348,-3.647035,10.53032,405.9253
2021-03-25 00:01:56,8.081462,-4.011738,10.53032,405.1069
2021-03-25 00:01:58,8.072854,-3.647035,10.51668,405.7889
2021-03-25 00:02:00,8.071741,-4.011738,10.53032,405.8434
2021-03-25 00:02:02,8.079265,-4.011738,10.50267,405.405
2021-03-25 00:02:04,8.110826,-3.282332,10.52995,405.3777
2021-03-25 00:02:06,8.043722,-3.647035,10.52995,405.9233
