timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol,P.irga.kPa
2021-04-01 00:00:00,8.369565,-1.458816,10.99192,411.2056,93.95402
2021-04-01 00:00:02,8.344872,-1.094112,11.04647,410.5238,93.95402
2021-04-01 00:00:04,8.335155,-1.82352,11.04647,410.4965,93.95402
2021-04-01 00:00:06,8.298514,-1.094112,11.04647,411.1511,93.95402
2021-04-01 00:00:08,8.292138,-1.82352,11.0192,411.2602,93.95402
2021-04-01 00:00:10,8.32631,-1.82352,11.02,410.2281,93.95502
2021-04-01 00:00:12,8.337342,-1.82352,11.02,410.8828,93.96048
2021-04-01 00:00:14,8.34466,-1.458816,11.00636,411.3192,93.95502
2021-04-01 00:00:16,8.359607,-1.82352,10.99272,411.0191,93.95502
2021-04-01 00:00:18,8.36295,-1.82352,10.97908,410.5827,93.95502
2021-04-01 00:00:20,8.336058,-1.82352,11.02,410.5554,93.95502
2021-04-01 00:00:22,8.334913,-1.458816,10.99272,410.9919,93.95502
2021-04-01 00:00:28,8.359607,-1.82352,10.9518,409.7917,93.95502
2021-04-01 00:00:30,8.352118,-1.82352,11.07455,410.7737,93.95502
2021-04-01 00:00:32,8.373981,-1.458816,11.07455,410.5554,93.95502
2021-04-01 00:00:34,8.31551,-1.458816,11.08819,410.9646,93.95502
2021-04-01 00:00:36,8.336058,-2.188224,11.07455,411.9193,93.95502
2021-04-01 00:00:38,8.32631,-1.458816,11.07455,410.8282,93.95502
2021-04-01 00:00:40,8.327455,-2.188224,11.06091,410.7191,93.94957
2021-04-01 00:00:42,8.295441,-1.82352,11.04728,410.7464,93.95502
2021-04-01 00:00:44,8.320137,-1.82352,11.00636,410.4463,93.95502
2021-04-01 00:00:46,8.32874,-1.82352,10.97908,410.4463,93.95502
2021-04-01 00:00:48,8.318991,-1.458816,10.97908,410.5554,93.95502
2021-04-01 00:00:50,8.317707,-1.82352,10.96544,410.8828,93.95502
2021-04-01 00:00:52,8.309104,-1.82352,10.9518,411.3192,93.95502
2021-04-01 00:00:54,8.317707,-1.82352,10.96544,411.8102,93.95502
2021-04-01 00:00:56,8.309104,-1.094112,10.9518,411.7011,93.95502
2021-04-01 00:00:58,8.318991,-2.188224,10.96544,410.9373,93.95502
2021-04-01 00:01:00,8.32631,-2.188224,10.96544,411.2646,93.95502
2021-04-01 00:01:02,8.347058,-2.188224,10.96544,410.5281,93.95502
2021-04-01 00:01:04,8.301645,-2.188224,10.96544,410.91,93.95502
2021-04-01 00:01:06,8.309104,-1.82352,10.96544,411.5374,93.95502
2021-04-01 00:01:08,8.309104,-1.458816,10.93817,411.101,93.95502
2021-04-01 00:01:10,8.325195,-1.82352,10.93817,410.8282,93.95502
2021-04-01 00:01:12,8.325195,-1.82352,10.9518,410.9373,93.96048
2021-04-01 00:01:14,8.338456,-1.094112,10.92453,411.5101,93.95502
2021-04-01 00:01:16,8.32631,-1.094112,10.93817,410.8828,93.95502
2021-04-01 00:01:18,8.351004,-1.82352,10.9518,411.101,93.95502
2021-04-01 00:01:20,8.36295,-1.82352,10.93817,411.2101,93.95502
2021-04-01 00:01:22,8.333798,-1.458816,10.93817,410.2281,93.95502
2021-04-01 00:01:24,8.32631,-1.82352,10.96544,410.5554,93.95502
2021-04-01 00:01:26,8.356777,-2.188224,10.96544,411.4283,93.96048
2021-04-01 00:01:28,8.311533,-1.82352,10.93817,411.2646,93.95502
2021-04-01 00:01:30,8.30293,-2.188224,10.93817,410.8282,93.95502
2021-04-01 00:01:32,8.309104,-2.552927,10.96544,410.9646,93.94957
2021-04-01 00:01:34,8.283293,-1.82352,10.96544,411.1828,93.95502
2021-04-01 00:01:36,8.309104,-1.458816,10.96544,410.8282,93.95502
2021-04-01 00:01:38,8.272491,-2.188224,10.9518,411.7556,93.95502
2021-04-01 00:01:40,8.306907,-2.188224,10.9518,411.7011,93.96048
2021-04-01 00:01:42,8.282179,-1.82352,10.91089,411.592,93.95502
2021-04-01 00:01:44,8.310248,-1.82352,10.92453,411.8375,93.95502
2021-04-01 00:01:46,8.320137,-1.82352,10.91089,411.7556,93.95502
2021-04-01 00:01:48,8.256367,-2.188224,10.92453,411.8102,93.96048
2021-04-01 00:01:50,8.293181,-1.82352,10.93817,411.3192,93.95502
2021-04-01 00:01:52,8.324113,-1.458816,10.92453,412.4103,93.95502
2021-04-01 00:01:54,8.309306,-2.188224,10.92453,410.9919,93.96048
2021-04-01 00:01:56,8.334913,-1.094112,10.9518,411.7556,93.95502
2021-04-01 00:01:58,8.327594,-1.82352,10.9518,411.7556,93.95502
2021-04-01 00:02:00,8.32631,-1.458816,10.91089,411.5374,93.95502
2021-04-01 00:02:02,8.343641,-1.823519,10.92516,410.9954,93.95584
2021-04-01 00:02:04,8.305887,-2.188223,10.92516,411.5956,93.96129
2021-04-01 00:02:06,8.294452,-2.188223,10.91152,411.8138,93.95584
2021-04-01 00:02:08,8.289825,-2.552927,10.91152,411.6774,93.95584
2021-04-01 00:02:10,8.352244,-1.823519,10.91152,412.1957,93.95584
2021-04-01 00:02:12,8.337468,-1.823519,10.91152,411.6501,93.95584
2021-04-01 00:02:14,8.344926,-2.188223,10.91152,412.3593,93.96129
2021-04-01 00:02:16,8.333926,-2.552927,10.88424,412.2502,93.96129
2021-04-01 00:02:18,8.352415,-1.458815,10.89788,411.8138,93.95584
2021-04-01 00:02:20,8.357505,-1.458815,10.8706,412.3593,93.95584
2021-04-01 00:02:22,8.350047,-1.458815,10.88424,413.1777,93.96129
2021-04-01 00:02:24,8.385541,-1.823519,10.89788,412.0047,93.95584
2021-04-01 00:02:26,8.368537,-2.188223,10.91152,412.7412,93.95584
2021-04-01 00:02:28,8.43715,-1.458815,10.89788,412.4139,93.95038
2021-04-01 00:02:30,8.428549,-1.094112,10.92516,412.0865,93.95584
2021-04-01 00:02:32,8.418864,-1.823519,10.91152,411.7592,93.95584
2021-04-01 00:02:34,8.42875,-1.458815,10.92516,412.2502,93.95584
2021-04-01 00:02:36,8.449293,-1.823519,10.9388,411.3773,93.96675
2021-04-01 00:02:38,8.444668,-2.188223,10.92516,410.4498,93.96129
2021-04-01 00:02:40,8.45675,-2.552927,10.9388,410.4771,93.95584
2021-04-01 00:02:42,8.433808,-2.188223,10.9388,410.8044,93.96675
2021-04-01 00:02:44,8.480155,-1.823519,10.9388,411.7592,93.95584
2021-04-01 00:02:46,8.47047,-1.823519,10.95244,409.7951,93.96129
2021-04-01 00:02:48,8.469326,-1.823519,10.95244,409.5769,93.95584
2021-04-01 00:02:50,8.514756,-2.188223,10.92516,409.686,93.95584
2021-04-01 00:02:52,8.504872,-1.458815,10.9388,409.5769,93.95584
2021-04-01 00:02:54,8.487672,-1.823519,10.9388,409.3041,93.95584
2021-04-01 00:02:56,8.514556,-1.094112,10.9388,409.9043,93.95584
2021-04-01 00:02:58,8.480355,-1.458815,10.96608,409.3587,93.96129
2021-04-01 00:03:00,8.522073,-1.458815,10.95244,409.2496,93.96675
2021-04-01 00:03:02,8.534151,-1.823519,10.95244,408.8131,93.95584
2021-04-01 00:03:04,8.504872,-1.458815,10.96608,408.8131,93.95584
2021-04-01 00:03:06,8.507239,-1.458815,10.97972,408.1039,93.96129
2021-04-01 00:03:08,8.488756,-1.823519,10.96608,408.1039,93.95584
2021-04-01 00:03:10,8.481268,-1.458815,10.99336,408.1039,93.96129
2021-04-01 00:03:12,8.445752,-1.823519,10.97972,409.0041,93.95584
2021-04-01 00:03:14,8.462954,-2.552927,10.99336,408.1584,93.95584
2021-04-01 00:03:16,8.481439,-2.188223,10.99336,408.4312,93.95584
2021-04-01 00:03:18,8.496444,-2.188223,10.99336,408.213,93.96129
2021-04-01 00:03:20,8.530672,-1.458815,11.007,409.4678,93.96129
2021-04-01 00:03:22,8.533038,-1.823519,11.007,408.4857,93.96675
2021-04-01 00:03:24,8.512327,-1.823519,11.03428,408.4585,93.95038
2021-04-01 00:03:26,8.44241,-1.823519,10.99336,408.4857,93.95584
2021-04-01 00:03:28,8.46187,-1.458815,11.02064,407.7765,93.95584
2021-04-01 00:03:30,8.452125,-1.823519,11.03428,407.9948,93.95584
2021-04-01 00:03:32,8.460726,-1.458815,11.007,407.3401,93.96129
2021-04-01 00:03:34,8.381117,-2.188223,11.02064,407.9948,93.95584
2021-04-01 00:03:36,8.482552,-1.458815,11.007,408.3494,93.96129
2021-04-01 00:03:38,8.453268,-1.823519,11.02064,408.7585,93.95584
2021-04-01 00:03:40,8.443523,-1.458815,11.03428,408.4312,93.95584
2021-04-01 00:03:42,8.44241,-1.094112,11.03428,408.1039,93.95584
2021-04-01 00:03:44,8.46187,-1.823519,11.03428,408.9222,93.96129
2021-04-01 00:03:46,8.436067,-1.458815,11.02064,408.513,93.95584
2021-04-01 00:03:48,8.391913,-1.823519,11.04792,409.1677,93.95584
2021-04-01 00:03:50,8.452125,-1.823519,11.04792,409.4678,93.96129
2021-04-01 00:03:52,8.428549,-1.458815,11.04792,409.1404,93.95584
2021-04-01 00:03:54,8.464333,-1.458815,11.06131,408.7573,93.95553
2021-04-01 00:03:56,8.420243,-2.552926,11.06131,408.7845,93.95553
2021-04-01 00:03:58,8.408099,-1.823519,11.07495,409.221,93.96098
2021-04-01 00:04:00,8.390896,-2.188223,11.03404,410.1212,93.96098
2021-04-01 00:04:02,8.373692,-2.188223,11.06131,410.5031,93.95553
2021-04-01 00:04:04,8.394439,-1.823519,11.03404,408.9755,93.95553
2021-04-01 00:04:06,8.383438,-1.458815,11.04768,409.1937,93.95553
2021-04-01 00:04:08,8.384552,-2.188223,11.07495,409.4665,93.95553
2021-04-01 00:04:10,8.382294,-1.823519,11.06131,409.1937,93.95553
2021-04-01 00:04:12,8.404123,-1.823519,11.07495,409.2483,93.95553
2021-04-01 00:04:14,8.374836,-2.188223,11.08859,408.9755,93.95553
2021-04-01 00:04:16,8.426446,-1.823519,11.07495,408.6482,93.95553
2021-04-01 00:04:18,8.408099,-1.823519,11.10223,408.2935,93.96645
2021-04-01 00:04:20,8.410528,-1.823519,11.10223,408.239,93.96645
2021-04-01 00:04:22,8.412725,-1.823519,11.08859,409.1392,93.95553
2021-04-01 00:04:24,8.410357,-1.823519,11.08859,408.4299,93.95553
2021-04-01 00:04:26,8.376121,-1.094111,11.07495,410.0121,93.95553
2021-04-01 00:04:28,8.413838,-1.458815,11.07495,409.7393,93.95553
2021-04-01 00:04:30,8.342824,-2.188223,10.96584,409.5211,93.95553
2021-04-01 00:04:32,8.417845,-1.458815,10.96584,408.8664,93.96098
2021-04-01 00:04:34,8.399497,-1.458815,10.96584,409.3301,93.96645
