timestamp,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa
2022-01-12 00:00:00,10.23281,0.3645556,6.616642,412.0464,94.02455
2022-01-12 00:00:02,10.23379,0.0,6.616642,412.101,94.02455
2022-01-12 00:00:04,10.24331,0.7291111,6.603,413.4652,94.03001
2022-01-12 00:00:10,10.31945,0.0,6.630285,412.3192,94.03001
2022-01-12 00:00:12,10.33754,-0.3645556,6.616642,413.5743,94.03547
2022-01-12 00:00:14,10.36323,-0.3645556,6.630285,411.8281,94.03547
2022-01-12 00:00:16,10.41269,-0.3645556,6.643928,412.4283,94.02455
2022-01-12 00:00:18,10.38892,0.0,6.630285,411.8827,94.02455
2022-01-12 00:00:20,10.40605,-0.3645556,6.630285,413.5743,94.03001
2022-01-12 00:00:22,10.39749,0.3645556,6.630285,413.0286,94.02455
2022-01-12 00:00:24,10.35371,0.3645556,6.616642,412.7012,94.03001
2022-01-12 00:00:26,10.32041,1.093667,6.630285,413.5198,94.02455
2022-01-12 00:00:28,10.31184,0.3645556,6.616642,412.6466,94.03001
2022-01-12 00:00:30,10.30425,0.7291111,6.603,412.3738,94.03001
2022-01-12 00:00:32,10.30327,0.7291111,6.630285,412.5375,94.02455
2022-01-12 00:00:34,10.27855,0.7291111,6.630285,412.5648,94.02455
2022-01-12 00:00:36,10.26044,0.7291111,6.616642,411.9918,94.03547
2022-01-12 00:00:38,10.20904,0.0,6.616642,412.8104,94.03547
2022-01-12 00:00:40,10.23572,0.7291111,6.603,411.6371,94.02455
2022-01-12 00:00:42,10.24428,0.7291111,6.616642,413.8199,94.03001
2022-01-12 00:00:44,10.19385,0.7291111,6.630285,412.2646,94.03547
2022-01-12 00:00:46,10.19288,0.3645556,6.630285,412.8104,94.03001
2022-01-12 00:00:48,10.12336,0.3645556,6.603,412.7558,94.02455
2022-01-12 00:00:50,10.11479,0.3645556,6.616642,412.6466,94.02455
2022-01-12 00:00:52,10.10817,0.0,6.643928,412.6466,94.03001
2022-01-12 00:00:54,10.08149,0.0,6.643928,413.738,94.02455
2022-01-12 00:00:56,10.07292,0.3645556,6.616642,412.9741,94.03001
2022-01-12 00:00:58,10.05578,0.0,6.603,413.4106,94.02455
2022-01-12 00:01:00,10.09766,-0.3645556,6.630285,412.9195,94.02455
2022-01-12 00:01:02,10.09766,1.093667,6.616642,412.8104,94.03001
2022-01-12 00:01:04,10.17672,-0.3645556,6.616642,413.0832,94.03001
2022-01-12 00:01:06,10.20904,-0.3645556,6.630285,413.1378,94.03547
2022-01-12 00:01:08,10.27952,0.0,6.616642,412.5375,94.03547
2022-01-12 00:01:10,10.26142,0.3645556,6.616642,413.1924,94.03547
2022-01-12 00:01:12,10.26239,-0.3645556,6.616642,413.0286,94.02455
2022-01-12 00:01:14,10.29568,0.0,6.630285,413.1924,94.02455
2022-01-12 00:01:16,10.30522,0.3645556,6.643928,413.3015,94.03547
2022-01-12 00:01:18,10.28712,0.3645556,6.643928,411.3915,94.03001
2022-01-12 00:01:20,10.27855,0.0,6.630285,412.4283,94.02455
2022-01-12 00:01:22,10.22618,0.7291111,6.630285,412.1555,94.03547
2022-01-12 00:01:24,10.22908,0.0,6.643928,413.5743,94.02455
2022-01-12 00:01:26,10.17672,0.3645556,6.616642,412.9741,94.02455
2022-01-12 00:01:28,10.19481,0.7291111,6.630285,412.9741,94.02455
2022-01-12 00:01:30,10.15004,0.3645556,6.616642,413.3015,94.03001
2022-01-12 00:01:32,10.20242,0.7291111,6.643928,413.4106,94.03547
2022-01-12 00:01:34,10.23655,0.0,6.630285,413.6835,94.03547
2022-01-12 00:01:36,10.28795,0.7291183,6.65757,411.5552,94.03547
2022-01-12 00:01:38,10.33934,0.3645592,6.630285,413.5198,94.03001
2022-01-12 00:01:40,10.35746,0.7291183,6.65757,412.4283,94.02455
2022-01-12 00:01:42,10.38119,0.0,6.643928,412.3192,94.02455
2022-01-12 00:01:44,10.39266,-0.3645592,6.643928,411.8008,94.03001
2022-01-12 00:01:46,10.45167,0.7291183,6.603,413.0286,94.02455
2022-01-12 00:01:48,10.41642,0.7291183,6.616642,412.0464,94.02455
2022-01-12 00:01:50,10.42597,0.7291183,6.65757,412.7831,94.03001
2022-01-12 00:01:52,10.41642,0.3645592,6.643928,412.4556,94.03001
2022-01-12 00:01:54,10.35647,0.7291183,6.65757,412.7558,94.03547
2022-01-12 00:01:56,10.28795,0.3645592,6.643928,414.0109,94.02455
2022-01-12 00:01:58,10.26324,0.0,6.65757,413.2742,94.03001
2022-01-12 00:02:00,10.18515,0.0,6.630285,412.8649,94.03547
2022-01-12 00:02:02,10.21184,0.3645592,6.643928,413.738,94.02455
2022-01-12 00:02:04,10.22135,0.3645592,6.65757,413.8472,94.02455
2022-01-12 00:02:06,10.18614,0.0,6.65757,411.6098,94.02455
2022-01-12 00:02:08,10.17851,-0.7291183,6.65757,412.3192,94.02455
2022-01-12 00:02:10,10.18708,0.3645592,6.65757,413.5198,94.02455
2022-01-12 00:02:12,10.17658,-0.3645592,6.65757,412.8104,94.02455
2022-01-12 00:02:14,10.16043,0.7291183,6.643928,413.0286,94.02455
2022-01-12 00:02:16,10.11759,0.7291183,6.630285,413.356,94.02455
2022-01-12 00:02:18,10.08233,0.0,6.643928,413.9018,94.02455
2022-01-12 00:02:20,10.07376,-0.3645592,6.643928,412.4829,94.02455
2022-01-12 00:02:22,10.09188,0.7291183,6.643928,413.0832,94.02455
2022-01-12 00:02:24,10.13473,0.3645592,6.643928,413.1105,94.02455
2022-01-12 00:02:26,10.13473,0.0,6.65757,413.4652,94.02455
2022-01-12 00:02:28,10.19659,0.7291183,6.630285,412.2101,94.02455
2022-01-12 00:02:30,10.19565,0.3645592,6.643928,413.1924,94.03001
2022-01-12 00:02:32,10.12616,-0.3645592,6.630285,413.8472,94.03001
2022-01-12 00:02:34,10.05855,0.7291183,6.630285,413.9563,94.02455
2022-01-12 00:02:36,10.01664,0.0,6.630285,414.0655,94.03001
2022-01-12 00:02:38,10.0157,-0.3645592,6.643928,412.7012,94.03001
2022-01-12 00:02:40,9.980473,0.3645592,6.630285,413.7926,94.03547
2022-01-12 00:02:42,9.956646,0.7291183,6.630285,412.7558,94.02455
2022-01-12 00:02:44,10.00713,1.093678,6.616642,412.5648,94.02455
2022-01-12 00:02:46,9.997614,0.3645592,6.643928,413.8472,94.03001
2022-01-12 00:02:48,10.04141,0.0,6.643928,413.3015,94.03001
