timestamp,RECORD,FlowMeter(1),FlowMeter(2)
2022-01-10 00:00:00,1654089,8.12841,3.253273
2022-01-10 00:00:02,1654090,8.132503,3.219172
2022-01-10 00:00:04,1654091,8.144778,3.567006
2022-01-10 00:00:06,1654092,8.159783,3.41696
2022-01-10 00:00:08,1654093,8.131138,3.212352
2022-01-10 00:00:10,1654094,8.167968,3.328296
2022-01-10 00:00:12,1654095,8.147507,3.41014
2022-01-10 00:00:14,1654096,8.082032,3.434011
2022-01-10 00:00:16,1654097,8.116134,3.270324
2022-01-10 00:00:18,1654098,8.167968,3.532905
2022-01-10 00:00:20,1654099,8.106586,3.219172
2022-01-10 00:00:22,1654100,8.114769,3.365808
2022-01-10 00:00:24,1654101,8.112041,3.358988
2022-01-10 00:00:26,1654102,8.120226,3.519264
2022-01-10 00:00:28,1654103,8.095673,3.376039
2022-01-10 00:00:30,1654104,8.102493,3.481753
2022-01-10 00:00:32,1654105,8.075212,3.157789
2022-01-10 00:00:34,1654106,8.075212,3.495393
2022-01-10 00:00:36,1654107,8.022014,3.427191
2022-01-10 00:00:38,1654108,8.062936,3.40332
2022-01-10 00:00:40,1654109,8.058844,3.335117
2022-01-10 00:00:42,1654110,8.026106,3.283965
2022-01-10 00:00:44,1654111,8.000189,3.294195
2022-01-10 00:00:46,1654112,8.009737,3.40332
2022-01-10 00:00:48,1654113,7.982456,3.195301
2022-01-10 00:00:50,1654114,7.982456,3.40673
2022-01-10 00:00:52,1654115,7.993369,3.266914
2022-01-10 00:00:54,1654116,7.982456,3.502214
2022-01-10 00:00:56,1654117,8.002917,3.243043
2022-01-10 00:00:58,1654118,7.996097,3.266914
2022-01-10 00:01:00,1654119,7.982456,3.263504
2022-01-10 00:01:02,1654120,8.002917,3.345347
2022-01-10 00:01:04,1654121,8.012465,3.236223
2022-01-10 00:01:06,1654122,7.989276,3.345347
2022-01-10 00:01:08,1654123,7.960631,3.324886
2022-01-10 00:01:10,1654124,7.981092,3.328296
2022-01-10 00:01:12,1654125,7.993369,3.304425
2022-01-10 00:01:14,1654126,7.981092,3.307836
2022-01-10 00:01:16,1654127,8.001553,3.42037
2022-01-10 00:01:18,1654128,8.007245,3.338625
2022-01-10 00:01:20,1654129,7.993604,3.307933
2022-01-10 00:01:22,1654130,7.967686,3.212446
2022-01-10 00:01:24,1654131,8.00588,3.352266
2022-01-10 00:01:26,1654132,7.959501,3.311343
2022-01-10 00:01:28,1654133,8.003153,3.338625
2022-01-10 00:01:30,1654134,7.973143,3.294292
2022-01-10 00:01:32,1654135,8.011337,3.498906
2022-01-10 00:01:34,1654136,7.955409,3.321574
2022-01-10 00:01:36,1654137,8.011337,3.464804
2022-01-10 00:01:38,1654138,7.994968,3.205626
2022-01-10 00:01:40,1654139,7.984055,3.352266
2022-01-10 00:01:42,1654140,7.978599,3.396599
2022-01-10 00:01:44,1654141,7.96905,3.331805
2022-01-10 00:01:46,1654142,8.008609,3.294292
2022-01-10 00:01:48,1654143,7.989511,3.359087
2022-01-10 00:01:50,1654144,7.989511,3.495497
2022-01-10 00:01:52,1654145,7.96223,3.304523
2022-01-10 00:01:54,1654146,7.978599,3.505727
2022-01-10 00:01:56,1654147,7.954045,3.161293
2022-01-10 00:01:58,1654148,7.977235,3.178344
2022-01-10 00:02:00,1654149,8.008609,3.246549
2022-01-10 00:02:02,1654150,7.96905,3.338625
2022-01-10 00:02:04,1654151,7.993604,3.352266
2022-01-10 00:02:06,1654152,7.978599,3.365907
2022-01-10 00:02:08,1654153,7.943132,3.236318
2022-01-10 00:02:10,1654154,7.93222,3.284061
2022-01-10 00:02:12,1654155,7.93904,3.502317
2022-01-10 00:02:14,1654156,7.900846,3.239728
2022-01-10 00:02:16,1654157,7.945861,3.318164
2022-01-10 00:02:18,1654158,7.93222,3.393189
2022-01-10 00:02:20,1654159,7.943132,3.324984
2022-01-10 00:02:22,1654160,7.948589,3.307933
2022-01-10 00:02:24,1654161,7.896753,3.154472
2022-01-10 00:02:26,1654162,7.899481,3.393189
2022-01-10 00:02:28,1654163,7.859922,3.362497
2022-01-10 00:02:30,1654164,7.868107,3.093088
2022-01-10 00:02:32,1654165,7.911758,3.359087
2022-01-10 00:02:34,1654166,7.900846,3.157883
2022-01-10 00:02:36,1654167,7.876291,3.249959
2022-01-10 00:02:38,1654168,7.90903,3.297702
2022-01-10 00:02:40,1654169,7.895389,3.365907
2022-01-10 00:02:42,1654170,7.881748,3.423881
2022-01-10 00:02:44,1654171,7.880383,3.314754
2022-01-10 00:02:46,1654172,7.896753,3.437522
2022-01-10 00:02:48,1654173,7.902209,3.365907
2022-01-10 00:02:50,1654174,7.883112,3.12378
2022-01-10 00:02:52,1654175,7.904938,3.348856
2022-01-10 00:02:54,1654176,7.864015,3.195395
2022-01-10 00:02:56,1654177,7.911758,3.393189
2022-01-10 00:02:58,1654178,7.877656,3.287472
2022-01-10 00:03:00,1654179,7.899481,3.127191
2022-01-10 00:03:02,1654180,7.917215,3.290882
2022-01-10 00:03:04,1654181,7.904938,3.161293
2022-01-10 00:03:06,1654182,7.900846,3.457984
2022-01-10 00:03:08,1654183,7.902209,3.342036
2022-01-10 00:03:10,1654184,7.851923,3.280729
2022-01-10 00:03:12,1654185,7.894211,3.434193
2022-01-10 00:03:14,1654186,7.894211,3.331883
2022-01-10 00:03:16,1654187,7.868293,3.386449
2022-01-10 00:03:18,1654188,7.873749,3.338704
2022-01-10 00:03:20,1654189,7.895575,3.226164
2022-01-10 00:03:22,1654190,7.887391,3.284139
2022-01-10 00:03:24,1654191,7.894211,3.345525
2022-01-10 00:03:26,1654192,7.854651,3.263677
2022-01-10 00:03:28,1654193,7.869657,3.331883
